,Feature,Customer ID,Age,Occupation,Region Type,Marriage Status,Has Children,Income,Number of Handsets,Handset Age,Has Smart Phone,Current Handset Price,Credit Rating,Is Homeowner,Credit Card On Account,Average Bill Cost,Average Minutes Used,Average Recurring Charge,Average Over Bundle Mins,Average No. Roaming Calls,Call Mins Change %,Bill Amount Change %,Average Received Minutes,Average No. Outgoing Calls,Average No. Incoming Calls,Peak:OffPeak,Peak:OffPeak Change %,Average No. Dropped Calls,Lifetime (months customer),No. Customer Care Calls Last Month,Number of Retention Calls,No. Retention Offers Accepted,No. New Frequent Numbers,Churn (Customer Left)
0,0,1093902,,unknown,suburban,unknown,False,1,2,34,True,79.99,C, true,False,153.3,2240.5,56.52,251.75,0.0,22.67,3.0886,531.33,45.33,10.33,1.3281102359999999,-16.83490789,19.0,10,2.33,,,0, false
1,1,1050652,56.0,unknown,suburban,unknown,False,7,2,468,True,149.99,B, false,True,114.47,1423.5,52.7,158.75,0.0,-0.43,-2.0716,329.83,31.67,1.33,2.504267726,5.880220054,11.33,19,2.33,,,0, true
2,2,1057527,,unknown,unknown,unknown,False,1,1,332,True,,G, true,False,52.42,482.5,59.99,0.0,0.0,-2.85,0.0306,120.47,80.67,25.67,0.84259461,16.03586085,7.0,11,3.67,,,0, true
3,3,1084529,,unknown,suburban,unknown,False,1,1,366,True,,E, true,False,64.27,441.5,44.99,82.25,0.0,-2.37,-0.5856,97.72,31.33,2.0,2.206985215,7.113579627000001,12.67,13,2.67,1.0,,1, true
4,4,1032668,50.0,professional,unknown,yes,False,7,1,733,True,,B, false,True,34.99,520.5,44.99,0.0,0.0,-1.07,,0.38,18.67,0.0,1.445172675,-10.4579824,1.67,25,8.0,,,1, false
5,5,1086017,,unknown,unknown,no,False,8,2,30,True,29.99,C, false,True,70.83,429.0,44.99,101.5,0.0,19.28,2.1252,17.22,15.67,7.67,1.16929334,-2.2910905269999997,3.67,6,1.0,,,0, false
6,6,1030370,24.0,student,town,no,False,2,3,315,True,29.99,B, false,True,54.9,385.75,61.91,0.0,0.0,-0.735,-0.0384,77.32,27.67,5.33,3.05825,-3.406112817,19.0,23,0.0,,,0, false
7,7,1079916,56.0,unknown,suburban,yes,True,7,1,378,True,,B, false,True,14.0,0.0,10.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-4.4020066589999995,0.0,13,0.0,,,0, false
8,8,1095902,42.0,unknown,suburban,yes,True,7,1,233,True,,C, false,True,112.33,686.75,41.23,191.0,9.26,22.645,4.7924,20.1,13.67,5.0,0.695142857,-19.14291572,3.0,8,2.67,,,0, false
9,9,1056801,26.0,unknown,unknown,no,False,2,2,130,True,149.99,D, false,True,35.97,141.5,31.73,2.25,4.54,-0.97,-0.7696,14.99,8.67,2.0,3.9113428939999997,1.832397324,5.67,17,1.0,,,0, false
